,Brand_Name,Model_Name,Phone_Colour,Rom,Rating,Rating_Count,Reviews_Count,Price,Pre_price,Battery_Capacity,Display_Size,Processor,Primary_Camera,Rating_Group,Price_Group,Display_Group
387,SAMSUNG,SAMSUNG Galaxy F34 5G ,Mystic Green,128,4.3,1153,107,18999,24499,3600.0,6.5,Exynos1280,50.0,Good,0-20k,Large
388,MOTOROLA,MOTOROLA g13 ,Matte Charcoal,128,4.0,41678,3814,9999,13999,5000.0,6.5,HelioG85,50.0,Good,0-20k,Large
389,MOTOROLA,MOTOROLA Edge 30 ,Meteor Grey,128,4.1,7151,925,22999,34999,3600.0,6.55,QualcommSnapdragon778GPlus,50.0,Good,20k-40k,Large
390,SAMSUNG,SAMSUNG Galaxy F23 5G ,Forest Green,128,4.2,45639,3466,14999,22999,3600.0,6.6,QualcommSnapdragon750G,50.0,Good,0-20k,Very Large
391,SAMSUNG,SAMSUNG Galaxy F34 5G ,Mystic Green,128,4.1,253,24,20999,25999,3600.0,6.5,Exynos1280,50.0,Good,20k-40k,Large
392,I,I Kall S1 Pro ,Jordy Blue,128,3.7,127,4,9999,11999,6000.0,6.8,OctaCore,13.0,Fair,0-20k,Very Large
393,REDMI,REDMI Note 12 Pro+ 5G ,Iceberg Blue,256,4.2,14433,1507,29999,33999,3600.0,6.67,MediatekDimensity1080,200.0,Good,20k-40k,Very Large
394,itel,itel Power 440| 2500 mAh battery| Expandable Storage Upto 32GB,Mystic Green,128,4.1,128,6,1470,1899,2500.0,2.4,,0.3,Good,0-20k,Small
395,LAVA,LAVA A5,Mystic Green,128,4.1,13295,1230,1549,14999,3600.0,2.4,,0.3,Good,0-20k,Small
396,SAMSUNG,SAMSUNG Galaxy F34 5G ,Electric Black,128,4.1,253,24,20999,25999,3600.0,6.5,Exynos1280,50.0,Good,20k-40k,Large
397,SAMSUNG,SAMSUNG Galaxy M14 5G ,Berry Blue,128,4.2,644,54,13749,17990,6000.0,6.6,,50.0,Good,0-20k,Very Large
398,LAVA,LAVA A5,Mystic Green,128,4.1,13295,1230,1549,14999,3600.0,2.4,,0.3,Good,0-20k,Small
399,realme,realme 9i 5G ,Soulful Blue,64,4.5,51975,2568,14999,17999,3600.0,6.6,MediatekDimensity8105G,50.0,Excellent,0-20k,Very Large
400,itel,itel iPower 430 Triple sim|2500 mAh Battery|Expandable Storage upto 32GB,Mystic Green,128,3.9,98,4,1561,1899,2500.0,2.4,,0.3,Fair,0-20k,Small
401,Micromax,Micromax X379+,Mystic Green,128,3.4,213,17,1040,1899,1000.0,1.77,,0.3,Bad,0-20k,Small
402,realme,realme narzo 50i Prime ,Mint Green,32,4.2,300,12,6999,8999,5000.0,6.5,UnisocTigerT612(12nm),8.0,Good,0-20k,Large
403,GFive,GFive U106,Mystic Green,128,3.5,2508,203,725,999,950.0,1.8,,0.3,Fair,0-20k,Small
404,SAMSUNG,SAMSUNG Galaxy M34 5G without charger ,Midnight Blue,128,4.4,99,4,19700,24499,6000.0,6.5,,50.0,Good,0-20k,Large
405,Snexian,Snexian GURU 312,Mystic Green,128,3.4,3640,254,799,999,800.0,1.8,,0.3,Bad,0-20k,Small
406,OnePlus,OnePlus Nord 3 5G ,Misty Green,256,4.3,126,9,37822,37999,5000.0,6.74,,50.0,Good,20k-40k,Very Large
407,REDMI,REDMI 10 ,Midnight Black,64,4.3,246435,14959,9999,14999,3600.0,6.7,QualcommSnapdragon680,50.0,Good,0-20k,Very Large
408,itel,itel Power 440| 2500 mAh battery| Expandable Storage Upto 32GB,Mystic Green,128,4.1,128,6,1470,1899,2500.0,2.4,,0.3,Good,0-20k,Small
409,vivo,vivo Y16 ,Drizzling Gold,64,4.3,3931,225,10999,15999,3600.0,6.51,MediatekHelioP35,13.0,Good,0-20k,Large
410,SAMSUNG,SAMSUNG Galaxy F34 5G ,Electric Black,128,4.3,1153,107,18999,24499,3600.0,6.5,Exynos1280,50.0,Good,0-20k,Large
411,SAMSUNG,SAMSUNG Galaxy F34 5G ,Mystic Green,128,4.3,1153,107,18999,24499,3600.0,6.5,Exynos1280,50.0,Good,0-20k,Large
412,KARBONN,KARBONN KX 29,Mystic Green,128,3.8,699,67,1499,1890,2700.0,2.4,,0.3,Fair,0-20k,Small
413,realme,realme 9i 5G ,Soulful Blue,128,4.3,10207,688,16999,19999,3600.0,6.6,MediatekDimensity8105G,50.0,Good,0-20k,Very Large
414,realme,realme 9i 5G ,Rocking Black,64,4.5,51975,2568,14999,17999,3600.0,6.6,MediatekDimensity8105G,50.0,Excellent,0-20k,Very Large
415,DIZO,DIZO Star 300,Mystic Green,128,3.9,10793,1242,1299,1499,2550.0,1.77,SC6531E,0.3,Fair,0-20k,Small
416,SAMSUNG,SAMSUNG Galaxy F34 5G ,Mystic Green,128,4.1,253,24,20999,25999,3600.0,6.5,Exynos1280,50.0,Good,20k-40k,Large
417,SAREGAMA,SAREGAMA Carvaan Mobile Tamil M21,Mystic Green,128,3.4,12,2,2490,14999,2500.0,2.4,,0.3,Bad,0-20k,Small
418,Nokia,Nokia 105 SS 2023,Mystic Green,128,3.8,415,29,1475,1599,1000.0,1.8,,50.0,Fair,0-20k,Small
419,I,I Kall K3310,Mystic Green,128,3.6,63914,7364,744,14999,1000.0,1.77,,0.3,Fair,0-20k,Small
420,SAMSUNG,SAMSUNG Galaxy F34 5G ,Electric Black,128,4.1,253,24,20999,25999,3600.0,6.5,Exynos1280,50.0,Good,20k-40k,Large
421,POCO,POCO M4 5G ,Power Black,128,4.2,46648,3318,13999,18999,3600.0,6.58,MediatekDimensity700,50.0,Good,0-20k,Large
422,Tecno,Tecno Camon 20 ,Predawn Black,256,4.3,215,23,14939,17999,5000.0,6.67,MediatekMT6769ZHelioG85,64.0,Good,0-20k,Very Large
423,SAMSUNG,SAMSUNG Galaxy A03 Core ,Onyx,32,4.1,4000,313,7190,10499,5000.0,6.5,,8.0,Good,0-20k,Large
424,Infinix,Infinix Note 30 5G ,Interstellar Blue,128,4.1,1774,208,14999,17999,3600.0,6.78,Dimensity6080,108.0,Good,0-20k,Very Large
425,Nokia,Nokia 105 DS,Mystic Green,128,4.2,18315,1809,1549,1699,1000.0,1.8,,50.0,Good,0-20k,Small
426,KARBONN,KARBONN KX 29,Mystic Green,128,3.8,699,67,1549,1799,3000.0,2.4,,0.3,Fair,0-20k,Small
427,GFive,GFive U106,Mystic Green,128,3.5,2508,203,719,1099,950.0,1.8,,0.3,Fair,0-20k,Small
428,Micromax,Micromax X778,Mystic Green,128,3.9,3338,309,1472,1999,2700.0,2.4,,0.3,Fair,0-20k,Small
429,Infinix,Infinix Note 30 5G ,Sunset Gold,256,4.2,13033,1833,15999,19999,3600.0,6.78,Dimensity6080,108.0,Good,0-20k,Very Large
430,Tecno,Tecno Camon 20 ,Serenity Blue,256,4.3,215,23,15990,17999,5000.0,6.67,MediatekMT6769ZHelioG85,64.0,Good,0-20k,Very Large
431,POCO,POCO X5 Pro 5G ,Horizon Blue,256,4.3,13980,1430,22999,28999,5000.0,6.67,QualcommSnapdragon778G,108.0,Good,20k-40k,Very Large
432,Kechaoda,Kechaoda K112,Mystic Green,128,4.0,23154,2338,1470,1799,3600.0,2.4,,0.3,Good,0-20k,Small
433,Infinix,Infinix Hot 12 ,7° Purple,64,4.2,29548,1988,8999,12999,3600.0,6.82,MeditekHelioG37,50.0,Good,0-20k,Very Large
434,Infinix,Infinix Note 30 5G ,Interstellar Blue,256,4.2,13033,1833,15999,19999,3600.0,6.78,Dimensity6080,108.0,Good,0-20k,Very Large
435,Infinix,Infinix Note 30 5G ,Magic Black,256,4.2,13033,1833,15999,19999,3600.0,6.78,Dimensity6080,108.0,Good,0-20k,Very Large
436,realme,realme 9i 5G ,Rocking Black,128,4.3,10207,688,16999,19999,3600.0,6.6,MediatekDimensity8105G,50.0,Good,0-20k,Very Large
437,I,I Kall S1 Pro ,Electric Purple,128,3.7,127,4,9999,11999,6000.0,6.8,OctaCore,13.0,Fair,0-20k,Very Large
438,MOTOROLA,MOTOROLA g82 5G ,Meterorite Grey,128,4.1,7237,827,21499,25999,3600.0,6.6,QualcommSnapdragon6955G,50.0,Good,20k-40k,Very Large
439,Infinix,Infinix Note 30 5G ,Magic Black,128,4.1,1774,208,14999,17999,3600.0,6.78,Dimensity6080,108.0,Good,0-20k,Very Large
440,realme,realme Narzo 50i Prime ,Dark Blue,64,4.1,678,31,8695,9999,5000.0,6.5,UnisocT612processor,8.0,Good,0-20k,Large
441,realme,realme Narzo 50i Prime ,Mint Green,64,4.1,678,31,8595,9999,5000.0,6.5,UnisocT612processor,8.0,Good,0-20k,Large
442,LAVA,LAVA A1 2021,Mystic Green,128,4.1,2363,212,1149,1499,3600.0,1.77,,0.3,Good,0-20k,Small
443,OnePlus,OnePlus 11R 5G ,Sonic Black,128,4.5,6323,561,39800,39999,5000.0,6.7,,50.0,Excellent,20k-40k,Very Large
444,IQOO,IQOO Z7S 5G ,Norway Blue,128,4.3,621,33,20323,23999,4500.0,6.4,,64.0,Good,20k-40k,Large
445,Tecno,Tecno Spark Go 2023 ,Orange,64,4.2,192,4,7768,9999,5000.0,6.56,,13.0,Good,0-20k,Large
446,MOTOROLA,MOTOROLA Edge 30 Ultra ,Interstellar Black,256,4.2,1040,161,49999,74999,3600.0,6.67,QualcommSnapdragon8+Gen1,200.0,Good,40k-60k,Very Large
447,REDMI,REDMI A1 ,Light Blue,32,4.2,8645,412,6899,8999,5000.0,6.52,,5.0,Good,0-20k,Large
448,REDMI,REDMI Note 12 Pro+ 5G ,Arctic White,256,4.2,14433,1507,29999,33999,3600.0,6.67,MediatekDimensity1080,200.0,Good,20k-40k,Very Large
449,Kechaoda,Kechaoda K115,Mystic Green,128,4.1,31614,2350,1119,1499,850.0,1.44,,0.3,Good,0-20k,Small
450,Jmax,Jmax J30,Mystic Green,128,3.6,490,33,699,1399,1050.0,1.8,,2.0,Fair,0-20k,Small
451,REDMI,REDMI Note 12 ,Sunrise Gold,128,4.1,11885,1012,15999,20999,5000.0,6.67,Snapdragon685,50.0,Good,0-20k,Very Large
452,POCO,POCO F5 5G ,Carbon Black,256,4.3,6068,879,27999,34999,3600.0,6.67,QualcommSnapdragon7+Gen2(4nm),64.0,Good,20k-40k,Very Large
453,MOTOROLA,MOTOROLA Edge 30 ,Aurora Green,128,4.1,7151,925,22999,34999,3600.0,6.55,QualcommSnapdragon778GPlus,50.0,Good,20k-40k,Large
454,Infinix,Infinix Hot 12 ,Turquoise Cyan,64,4.2,29548,1988,8999,12999,3600.0,6.82,MeditekHelioG37,50.0,Good,0-20k,Very Large
455,Infinix,Infinix Hot 12 ,Polar Black,64,4.2,29548,1988,8999,12999,3600.0,6.82,MeditekHelioG37,50.0,Good,0-20k,Very Large
456,SAMSUNG,SAMSUNG Galaxy F34 5G ,Electric Black,128,4.3,1153,107,18999,24499,3600.0,6.5,Exynos1280,50.0,Good,0-20k,Large
457,SAMSUNG,SAMSUNG Galaxy F23 5G ,Copper Blush,128,4.3,206030,15708,15999,23999,3600.0,6.6,QualcommSnapdragon750G,50.0,Good,0-20k,Very Large
458,Kechaoda,Kechaoda K66 The Music House 4,Mystic Green,128,3.9,18500,1338,1290,1999,400.0,1.8,,1.3,Fair,0-20k,Small
459,LAVA,LAVA A1 2021,Mystic Green,128,4.1,2363,212,1149,1499,3600.0,1.77,,0.3,Good,0-20k,Small
460,SAMSUNG,SAMSUNG Galaxy F23 5G ,Forest Green,128,4.3,206030,15708,15999,23999,3600.0,6.6,QualcommSnapdragon750G,50.0,Good,0-20k,Very Large
461,SAMSUNG,SAMSUNG Galaxy F34 5G ,Mystic Green,128,4.3,1153,107,18999,24499,3600.0,6.5,Exynos1280,50.0,Good,0-20k,Large
462,LAVA,LAVA A1 2021,Mystic Green,128,4.0,5244,419,1129,1449,3600.0,1.77,,0.3,Good,0-20k,Small
463,vivo,vivo Y16 ,Steller Black,128,4.3,3931,225,12499,16999,3600.0,6.51,MediatekHelioP35,13.0,Good,0-20k,Large
464,MOTOROLA,MOTOROLA g82 5G ,Meterorite Grey,128,4.1,7237,827,21499,25999,3600.0,6.6,QualcommSnapdragon6955G,50.0,Good,20k-40k,Very Large
465,MOTOROLA,MOTOROLA Edge 30 Ultra ,Starlight White,256,4.2,1040,161,49999,74999,3600.0,6.67,QualcommSnapdragon8+Gen1,200.0,Good,40k-60k,Very Large
466,SAMSUNG,SAMSUNG Galaxy F23 5G ,Aqua Blue,128,4.2,45639,3466,14999,22999,3600.0,6.6,QualcommSnapdragon750G,50.0,Good,0-20k,Very Large
467,SAMSUNG,SAMSUNG Galaxy F23 5G ,Forest Green,128,4.2,45639,3466,14999,22999,3600.0,6.6,QualcommSnapdragon750G,50.0,Good,0-20k,Very Large
468,REDMI,REDMI Note 11S ,Polar White,64,4.1,4007,302,13617,18999,5000.0,6.43,,108.0,Good,0-20k,Large
469,vivo,vivo Y16 ,Steller Black,64,4.3,3931,225,10999,15999,3600.0,6.51,MediatekHelioP35,13.0,Good,0-20k,Large
